timestamp;ac;bag;lu;typ;al;fnr;terminal;halle;esti;duration;s;iata;sched;reg;apname;ausgang;id;lang;alname;schedDep;flstatus;status;cs;rouname;rou;stops;pos
2022-07-12T16:35:52Z;A359;;2022-07-10T21:50:00+0200;P;SQ;SQ 326;1;B;2022-07-10T17:51:00+0200;765;FALSE;SIN;2022-07-10T17:40:00+0200;9VSJB;Singapur;B2;a20220710sq326;de;Singapore Airlines;2022-07-10T10:55:00+0800;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;E75L;;2022-07-10T21:46:00+0200;P;KL;KL 1771;2;D;2022-07-10T17:46:00+0200;65;FALSE;AMS;2022-07-10T17:45:00+0200;PHEXS;Amsterdam;D;a20220710kl1771;de;KLM Royal Dutch Airlines;2022-07-10T16:40:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;A320;;2022-07-10T22:04:00+0200;P;DE;DE 1039;1;B;2022-07-10T18:05:00+0200;100;FALSE;NCE;2022-07-10T17:45:00+0200;DAICH;Nizza;B2;a20220710de1039;de;Condor;2022-07-10T16:05:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;TRS;;2022-07-10T20:18:00+0200;P;LH;LH 3623;1;NA;2022-07-10T17:49:00+0200;NA;FALSE;QKL;2022-07-10T17:49:00+0200;;Köln Hbf;;a20220710lh3623;de;Lufthansa;NA;1;auf Position;;NA;NA;NA;NA
2022-07-12T16:35:52Z;B738;;2022-07-10T21:42:00+0200;P;UX;UX 1509;2;D;2022-07-10T17:43:00+0200;160;FALSE;MAD;2022-07-10T17:50:00+0200;ECMUZ;Madrid-Barajas;D;a20220710ux1509;de;Air Europa;2022-07-10T15:10:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;B789;;2022-07-10T21:30:00+0200;P;JL;JL 407;2;D;2022-07-10T17:30:00+0200;720;FALSE;NRT;2022-07-10T17:50:00+0200;JA864J;Tokio-Narita;D;a20220710jl407;de;JAL Japan Airlines;2022-07-10T12:50:00+0900;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;TRS;;2022-07-10T20:20:00+0200;P;LH;LH 3421;1;NA;2022-07-10T17:51:00+0200;NA;FALSE;ZWS;2022-07-10T17:51:00+0200;;Stuttgart Hbf;;a20220710lh3421;de;Lufthansa;NA;1;auf Position;;NA;NA;NA;NA
2022-07-12T16:35:52Z;TRS;;2022-07-10T20:20:00+0200;P;LH;LH 3695;1;NA;2022-07-10T17:51:00+0200;NA;FALSE;QPP;2022-07-10T17:51:00+0200;;Berlin Hauptbahnhof;;a20220710lh3695;de;Lufthansa;NA;1;auf Position;;Kassel Wilhemsh. Bhf;KWQ;NA;NA
2022-07-12T16:35:52Z;A321;;2022-07-10T22:14:00+0200;P;LH;LH 195;1;A;2022-07-10T18:15:00+0200;70;FALSE;BER;2022-07-10T17:55:00+0200;DAIDE;Berlin-Brandenburg;A2;a20220710lh195;de;Lufthansa;2022-07-10T16:45:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;BCS3;;2022-07-10T22:14:00+0200;P;BT;BT 245;2;E;2022-07-10T18:15:00+0200;140;FALSE;RIX;2022-07-10T18:00:00+0200;YLCSN;Riga;E;a20220710bt245;de;airBaltic;2022-07-10T16:40:00+0300;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;A20N;;2022-07-10T22:42:00+0200;P;LH;LH 909;1;A;2022-07-10T18:43:00+0200;95;FALSE;LHR;2022-07-10T18:05:00+0200;DAINK;London-Heathrow;A2;a20220710lh909;de;Lufthansa;2022-07-10T15:30:00+0100;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;TRS;;2022-07-10T20:34:00+0200;P;LH;LH 3453;1;NA;2022-07-10T18:06:00+0200;NA;FALSE;ZBA;2022-07-10T18:06:00+0200;;Basel Bad Bahnhof;;a20220710lh3453;de;Lufthansa;NA;1;auf Position;;Mannheim Hbf;MHJ;NA;NA
2022-07-12T16:35:52Z;A321;;2022-07-10T22:58:00+0200;P;LH;LH 1129;1;A;2022-07-10T18:58:00+0200;130;FALSE;BCN;2022-07-10T18:10:00+0200;DAISX;Barcelona;A1;a20220710lh1129;de;Lufthansa;2022-07-10T16:00:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;E190;;2022-07-10T22:24:00+0200;P;LH;LH 027;1;A;2022-07-10T18:25:00+0200;70;FALSE;HAM;2022-07-10T18:10:00+0200;DAECI;Hamburg;A2;a20220710lh027;de;Lufthansa;2022-07-10T17:00:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;B738;;2022-07-10T22:46:00+0200;P;FEG;FEG 3121;2;E;2022-07-10T18:47:00+0200;285;FALSE;HRG;2022-07-10T18:15:00+0200;SUTMN;Hurghada;E;a20220710feg3121;de;FlyEgypt;2022-07-10T13:30:00+0200;0;Gepäckausgabe beendet;;NA;NA;NA;NA
2022-07-12T16:35:52Z;B738;;2022-07-10T22:16:00+0200;P;LY;LY 355;1;C;2022-07-10T18:17:00+0200;270;FALSE;TLV;2022-07-10T18:15:00+0200;4XEKI;Tel Aviv-Ben Gurion;C1;a20220710ly355;de;EL AL;2022-07-10T14:45:00+0300;0;Gepäckausgabe beendet;;NA;NA;NA;NA
